Family,Unit #,Region,Route #,Route Name,Flyer Ct.,Route Description
,,CENTER,1-24,ARLINGTON ST.,95,ARLINGTON ST. (from SCHOOL to BELMONT STS.) – All // BELMONT ST. (from ARLINGTON to ASHLAND STS.) – All // ASHLAND ST. (from BELMONT ST to DEAD END) – All // BUFFINGTON ST. (from ASHLAND to ARLINGTON STS) – All // BENNETT ST. (from ASHLAND ST. to DEAD END) – All 
,,CENTER,1-25,CHURCH GREEN,90,CHURCH GREEN – All // CREED WAY – All // SPRING ST. – All // WEIR ST. (from HIGH ST. to TAUNTON GREEN) – All 
,,CENTER,1-26,BROADWAY,175,BROADWAY (from CHURCH to EXETER STS.) – EVEN #s // CHURCH ST. – All // CHURCH AVE. – All // ADAMS ST. (GROVE TO BROADWAY) – All // BRADFORD ST. – All // HAMILTON ST. – All // CORAM ST. – All // DARTMOUTH ST. – All // EXETER ST. – All 
,,CENTER,1-27,BROADWAY,140,BROADWAY (from BAY to MONROE STS.) – EVEN #s // JEFFERSON ST. (from BROADWAY to BAY ST.) – All // JEFFERSON AVE. – All // JEFFERSON PL. – All // MADISON ST. – All // PAULL ST. – All // MONROE ST. – All // MONROE AVE - All 
,,CENTER,1-28,BROADWAY,80,BROADWAY (from BAY to JEFFERSON STS.) – ODD #s // JEFFERSON ST. (from BROADWAY to WASHINGTON ST.) – All // FERN ST. – All // MAKEPEACE AVE. – All // WASHINGTON ST. (from JEFFERSON to PURCHASE STS) – All // PURCHASE ST. (from WASHINGTON ST. to BROADWAY) – All 
,,WEIR,2-1,HIGHLAND ST.,85,HIGHLAND ST. (from THE COMMONS TO WINTHROP ST) – All // EDSON ST. – All // PINEHURST ST. - All // DAVENPORT ST. – All // DAVENPORT TERR. – All // HIGHLAND TERR. – All 
,,WEIR,2-2,HIGHLAND ST.,110,HIGHLAND ST. (from MARVEL ST. to THE COMMONS) – All // ROOSEVELT ST. – All // COOLIDGE ST. – All // SAINTS WAY _ All // BRIGET DR. - All // WOODCREST DR. – All // THE COMMONS CONDOMINIUMS – All 
,,WEIR,2-3,POOLE ST.,90,POOLE ST. – All // INDIAN MEADOW DR. – All // MARSH DR. – All // BIRCH CIR. – All // ROCKY RIDGE CIR. – All // PINEKNOLL CIR. – All 
,,WEIR,2-4,HART ST.,205,HART ST. (from COUNTY ST. to RTE. 24 OVERPASS) - All // JONATHAN WAY – All // BRIARWOOD DR. – All // BARNSIDE CONDOMINIUMS – All // PILGRIM VILLAGE – All // ALICIA DR. – All 
,,WEIR,2-5,LINDEN ST.,200,LINDEN ST. – All // THE FARMS 59 LINDEN ST. (ACCESSIBLE UNITS) – All // HART ST. (from LINDEN to COUNTY STS.) – All // ELMWOOD AVE. – All // TIMBER LN. – All // COLUMBUS BLVD. – All // WILLIAMS AVE. – All // JOHNSON ST. (from HART to COUNTY STS.) – All 
